literal	predicate_id	object_id	mapping_justification	mapping_provider	author_label	mapping_date
COVID19	http://www.w3.org/2000/01/rdf-schema#label	http://purl.obolibrary.org/obo/MONDO_0100096	https://w3id.org/semapv/vocab/ManualMappingCuration	https://www.ebi.ac.uk/biosamples/	Fuqi Xu	2020-04-14T17:00:00
Vero cells	http://www.w3.org/2000/01/rdf-schema#label	http://purl.obolibrary.org/obo/CLO_0009524	https://w3id.org/semapv/vocab/ManualMappingCuration	https://www.ebi.ac.uk/biosamples/	Fuqi Xu	2020-04-14T17:00:00
Sputum	http://www.w3.org/2000/01/rdf-schema#label	http://purl.obolibrary.org/obo/NCIT_C13278	https://w3id.org/semapv/vocab/ManualMappingCuration	https://www.ebi.ac.uk/biosamples/	Fuqi Xu	2020-04-14T17:00:00
bronchoalveolar lavage fluid(BALF)	http://www.w3.org/2000/01/rdf-schema#label	http://purl.obolibrary.org/obo/NCIT_C13195	https://w3id.org/semapv/vocab/ManualMappingCuration	https://www.ebi.ac.uk/biosamples/	Fuqi Xu	2020-04-14T17:00:00
Homo Sapien	http://www.w3.org/2000/01/rdf-schema#label	http://purl.obolibrary.org/obo/NCBITaxon_9606	https://w3id.org/semapv/vocab/ManualMappingCuration	https://www.ebi.ac.uk/biosamples/	Fuqi Xu	2020-04-14T17:00:00
SARS-CoV-2	http://www.w3.org/2000/01/rdf-schema#label	http://purl.obolibrary.org/obo/NCBITaxon_2697049	https://w3id.org/semapv/vocab/ManualMappingCuration	https://www.ebi.ac.uk/biosamples/	Fuqi Xu	2020-04-14T17:00:00
lung	http://www.w3.org/2000/01/rdf-schema#label	http://purl.obolibrary.org/obo/UBERON_0002048	https://w3id.org/semapv/vocab/ManualMappingCuration	https://www.ebi.ac.uk/biosamples/	Fuqi Xu	2020-05-14T17:00:06
Coronavirus infected disease-19 (COVID-19)	http://www.w3.org/2000/01/rdf-schema#label	http://purl.obolibrary.org/obo/MONDO_0100096	https://w3id.org/semapv/vocab/ManualMappingCuration	https://www.ebi.ac.uk/biosamples/	Fuqi Xu	2020-05-14T17:00:05
swab	http://www.w3.org/2000/01/rdf-schema#label	http://purl.obolibrary.org/obo/NCIT_C17627	https://w3id.org/semapv/vocab/ManualMappingCuration	https://www.ebi.ac.uk/biosamples/	Fuqi Xu	2020-04-14T17:00:00
severe acute respiratory syndrome	http://www.w3.org/2000/01/rdf-schema#label	http://purl.obolibrary.org/obo/MONDO_0005091	https://w3id.org/semapv/vocab/ManualMappingCuration	https://www.ebi.ac.uk/biosamples/	Fuqi Xu	2020-04-14T17:00:00
novel coronavirus pneumonia	http://www.w3.org/2000/01/rdf-schema#label	http://purl.obolibrary.org/obo/MONDO_0100096	https://w3id.org/semapv/vocab/ManualMappingCuration	https://www.ebi.ac.uk/biosamples/	Fuqi Xu	2020-04-14T17:00:00
nCoV pneumonia	http://www.w3.org/2000/01/rdf-schema#label	http://purl.obolibrary.org/obo/MONDO_0100096	https://w3id.org/semapv/vocab/ManualMappingCuration	https://www.ebi.ac.uk/biosamples/	Fuqi Xu	2020-04-14T17:00:00
nasal swab	http://www.w3.org/2000/01/rdf-schema#label	http://purl.obolibrary.org/obo/NCIT_C155833	https://w3id.org/semapv/vocab/ManualMappingCuration	https://www.ebi.ac.uk/biosamples/	Fuqi Xu	2020-04-14T17:00:00
Bronchoalveolar lavage fluid	http://www.w3.org/2000/01/rdf-schema#label	http://purl.obolibrary.org/obo/NCIT_C13195	https://w3id.org/semapv/vocab/ManualMappingCuration	https://www.ebi.ac.uk/biosamples/	Fuqi Xu	2020-05-14T17:00:02
COVID-19	http://www.w3.org/2000/01/rdf-schema#label	http://purl.obolibrary.org/obo/MONDO_0100096	https://w3id.org/semapv/vocab/ManualMappingCuration	https://www.ebi.ac.uk/biosamples/	Fuqi Xu	2020-05-14T17:00:01
nasopharyngeal swab	http://www.w3.org/2000/01/rdf-schema#label	http://purl.obolibrary.org/obo/NCIT_C155831	https://w3id.org/semapv/vocab/ManualMappingCuration	https://www.ebi.ac.uk/biosamples/	Fuqi Xu	2020-04-14T17:00:00
Wuhan seafood market pneumonia virus	http://www.w3.org/2000/01/rdf-schema#label	http://purl.obolibrary.org/obo/NCBITaxon_2697049	https://w3id.org/semapv/vocab/ManualMappingCuration	https://www.ebi.ac.uk/biosamples/	Fuqi Xu	2020-04-14T17:00:00
